Service Request Description,Department,Method Received,Created Date,Block,Street,Ward
Tree Request,Forestry and Horticulture,Phone,12/20/2016 13:29,31##,BYNG,WARD 9
Garbage Not Collected,Environmental Services,Phone,12/20/2016 13:32,6##,RANDOLPH,WARD 2
Dog Complaint - Bylaw,Bylaw Enforcement,Phone,12/20/2016 13:32,16##,OUELLETTE,WARD 3
3-Day Parking Infraction,Parking Enforcement,Phone,12/20/2016 13:32,22##,DANDURAND,WARD 10
Garbage Not Collected,Environmental Services,Phone,12/20/2016 13:33,22##,CURRY,WARD 10
Parking Meter,Traffic Operations,Phone,12/20/2016 13:48, ,"OUELLETTE AVE & ELLIS ST E, WINDSOR",WARD 3
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/20/2016 13:50,8##,NOVA,WARD 9
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/20/2016 13:52,41##,BARTON,WARD 9
Garbage Not Collected,Environmental Services,Phone,12/20/2016 13:57,6##,JOSEPHINE,WARD 2
Snow Removal - Emergency,Maintenance,Phone,12/20/2016 14:37,7##,ST ANTOINE,WARD 2
Snow Plowing & Salting Request,Maintenance,Phone,12/20/2016 14:38,13##,MERIDIAN,WARD 9
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/20/2016 14:48,58##,ROSE,WARD 8
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/20/2016 14:48,58##,ROSE,WARD 8
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/20/2016 14:49,25##,JOS ST LOUIS,WARD 8
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/20/2016 14:49,25##,JEFFERSON,WARD 8
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/20/2016 14:49,72##,TECUMSEH,WARD 8
Dirty Yard,Bylaw Enforcement,Phone,12/20/2016 14:54,2##,PIERRE,WARD 4
Garbage Not Collected,Environmental Services,Phone,12/20/2016 15:05,13##,PARENT,WARD 4
Garbage Not Collected,Environmental Services,Phone,12/20/2016 15:11,6##,IRVINE,WARD 4
Building Conditions,Inspections,Phone,12/20/2016 15:25, ,TUSCARORA,WARD 3
Dirty Yard,Bylaw Enforcement,Phone,12/20/2016 15:38,2##,WATSON,WARD 6
Garbage Not Collected,Environmental Services,Phone,12/20/2016 15:41,7##,SARAH,WARD 9
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/20/2016 15:44,11##,ALBERT,WARD 5
Garbage Not Collected,Environmental Services,Phone,12/20/2016 16:04,7##,UNIVERSITY,WARD 4
Building Conditions,Inspections,Phone,12/20/2016 16:18,12##,PARENT,WARD 4
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/20/2016 16:33,19##,TECUMSEH,WARD 10
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/20/2016 16:33,17##,TECUMSEH,WARD 10
Recycling Not Collected,Environmental Services,Phone,12/20/2016 16:35,22##,SECORD,WARD 2
Snow Plowing & Salting Request,Maintenance,Phone,12/20/2016 16:46,12##,JANETTE,WARD 3
Snow Plowing & Salting Request,Maintenance,Phone,12/20/2016 16:52,30##,CORAM,WARD 7
Building Accessibility,Inspections,Phone,12/20/2016 17:14,28##,TECUMSEH,WARD 2
Snow Plowing & Salting Request,Maintenance,Phone,12/20/2016 17:26,37##,ACADEMY,WARD 1
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/20/2016 17:46,10##,LANGLOIS,WARD 4
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/20/2016 18:25,12##,LAUZON,WARD 6
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/20/2016 18:32,8##,MCKAY,WARD 2
Recycling Not Collected,Environmental Services,Phone,12/21/2016 7:07,9##,MCEWAN,WARD 2
Building Conditions,Inspections,Phone,12/21/2016 7:14,11##,OUELLETTE,WARD 3
Dead Animal Removal,Environmental Services,Phone,12/21/2016 7:59, ,"SOUTH CAMERON BLVD & LONGFELLOW AVE, WINDSOR",WARD 10
Snow Plowing & Salting Request,Maintenance,Phone,12/21/2016 8:26,10##,CLOVER,WARD 7
3-Day Parking Infraction,Parking Enforcement,Phone,12/21/2016 8:30,15##,CHAPPELL,WARD 2
Garbage Preparation,Bylaw Enforcement,Phone,12/21/2016 8:45,5##,TECUMSEH,WARD 4
Building Conditions,Inspections,Phone,12/21/2016 8:46,11##,OUELLETTE,WARD 3
Snow Removal - Emergency,Maintenance,Phone,12/21/2016 8:47, ,GLIDDEN AVE & RAYMOND AVE,WARD 6
Building Conditions,Inspections,Phone,12/21/2016 8:48,11##,OUELLETTE,WARD 3
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/21/2016 8:57,19##,GROVE,WARD 2
3-Day Parking Infraction,Parking Enforcement,Phone,12/21/2016 8:59,30##,EMILIA,WARD 1
Building Conditions,Inspections,Phone,12/21/2016 9:07,4##,HALL,WARD 4
3-Day Parking Infraction,Parking Enforcement,Phone,12/21/2016 9:13,31##,MEADOWBROOK,WARD 8
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/21/2016 9:16,992##,ST LUKE,WARD 5
Recycling Not Collected,Environmental Services,Phone,12/21/2016 9:29,8##,SHEPHERD,WARD 4
Building Conditions,Inspections,Phone,12/21/2016 9:31,26##,GEORGE,WARD 5
Snow Plowing & Salting Request,Maintenance,Phone,12/21/2016 9:32,5##,STANLEY,WARD 10
Dirty Yard,Bylaw Enforcement,Phone,12/21/2016 9:33,26##,GEORGE,WARD 5
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/21/2016 9:48,68##,TECUMSEH,WARD 8
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/21/2016 10:00,992##,RIVERSIDE,WARD 3
Snow Removal - Emergency,Maintenance,Phone,12/21/2016 10:05, ,CHATHAM,WARD 3
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/21/2016 10:10,4##,LAUZON,WARD 6
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/21/2016 10:13,1##,CARON,WARD 3
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,E-Mail,12/21/2016 10:15,8##,OUELLETTE,WARD 3
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/21/2016 10:18,7##,OUELLETTE,WARD 3
Snow Plowing & Salting Request,Maintenance,Phone,12/21/2016 10:23, ,"SHEPHERD ST E & GLADSTONE AVE, WINDSOR",WARD 4
Garbage Preparation,Bylaw Enforcement,Phone,12/21/2016 10:26,9##,BRIDGE,WARD 2
Snow Plowing & Salting Request,Maintenance,Phone,12/21/2016 10:28,19##,GLENDALE,WARD 8
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Text,12/21/2016 10:30,4##,MILL,WARD 2
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Text,12/21/2016 10:30,4##,MILL,WARD 2
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Text,12/21/2016 10:31,32##,PETER,WARD 2
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/21/2016 10:40,20##,OTTAWA,WARD 4
Snow Plowing & Salting Request,Maintenance,Phone,12/21/2016 10:46,50##,HAIG,WARD 8
Snow Plowing & Salting Request,Maintenance,Phone,12/21/2016 10:56,31##,HARMONY,WARD 8
Snow Plowing & Salting Request,Maintenance,Phone,12/21/2016 10:59,13##,ST LUKE,WARD 5
Garbage Not Collected,Environmental Services,Phone,12/21/2016 10:59,34##,CARIBOU,WARD 9
Abandoned Vehicle,Parking Enforcement,Phone,12/21/2016 11:02,20##,QUESTA,WARD 7
Building/Land - Improper Use,Inspections,Phone,12/21/2016 11:17,22##,PARTINGTON,WARD 10
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/21/2016 11:29,6##,MERCER,WARD 3
Garbage Not Collected,Environmental Services,Phone,12/21/2016 11:49,18##,MOY,WARD 4
Dirty Yard,Bylaw Enforcement,Web Intake,12/21/2016 11:51, , ,WARD 3
Road Clean-Up Request,Environmental Services,Phone,12/21/2016 12:02, ,EC ROW EXPRESSWAY, 
Building Conditions,Inspections,Web Intake,12/21/2016 12:04, , ,WARD 5
Snow Plowing & Salting Request,Maintenance,Phone,12/21/2016 12:11, ,"LONGFELLOW AVE & CABANA RD W, WINDSOR",WARD 1
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/21/2016 12:13, ,"ROSEVILLE GARDEN DR & TECUMSEH RD E, WINDSOR",WARD 8
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,E-Mail,12/21/2016 12:15,12##,ASSUMPTION,WARD 4
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,E-Mail,12/21/2016 12:16,4##,PIERRE,WARD 4
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,E-Mail,12/21/2016 12:16,3##,LANGLOIS,WARD 4
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,E-Mail,12/21/2016 12:19,4##,PARENT,WARD 4
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,E-Mail,12/21/2016 12:19,3##,PARENT,WARD 4
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/21/2016 12:21,8##,ASSUMPTION,WARD 4
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,E-Mail,12/21/2016 12:22,994##,ASSUMPTION,WARD 4
Snow Plowing & Salting Request,Maintenance,Phone,12/21/2016 12:22,35##,BLOOMFIELD,WARD 2
Snow Plowing & Salting Request,Maintenance,Phone,12/21/2016 12:23,40##,ACORN,WARD 9
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/21/2016 12:23,8##,ASSUMPTION,WARD 4
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/21/2016 12:24,30##,DOUGALL,WARD 9
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,E-Mail,12/21/2016 12:24,3##,MARENTETTE,WARD 4
Tree Request,Forestry and Horticulture,Phone,12/21/2016 12:24,12##,COTTAGE,WARD 6
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,E-Mail,12/21/2016 12:25,7##,ASSUMPTION,WARD 4
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,E-Mail,12/21/2016 12:25,7##,ASSUMPTION,WARD 4
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,E-Mail,12/21/2016 12:26,7##,ASSUMPTION,WARD 4
Building Conditions,Inspections,Phone,12/21/2016 12:26,7##,ST ANTOINE,WARD 2
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/21/2016 12:26,7##,ASSUMPTION,WARD 4
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,E-Mail,12/21/2016 12:26,3##,LOUIS,WARD 4
Garbage Not Collected,Environmental Services,Phone,12/21/2016 12:27,6##,IRVINE,WARD 4
Pothole,Maintenance,Phone,12/21/2016 12:28,3##,MCDOUGALL,WARD 3
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/21/2016 12:28,7##,ASSUMPTION,WARD 4
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/21/2016 12:30,66##,TECUMSEH,WARD 8
Garbage Preparation,Bylaw Enforcement,Phone,12/21/2016 12:31,39##,ONTARIO,WARD 5
Tree Request,Forestry and Horticulture,Phone,12/21/2016 12:31,18##,KILDARE,WARD 4
Dog Complaint - Bylaw,Bylaw Enforcement,Phone,12/21/2016 12:39,17##,COLLEGE,WARD 2
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/21/2016 12:47,2##,GEORGE,WARD 5
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/21/2016 12:47,2##,HENKEL,WARD 5
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/21/2016 12:48,2##,HENKEL,WARD 5
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/21/2016 12:48,2##,ROSSINI,WARD 5
Garbage Not Collected,Environmental Services,Phone,12/21/2016 13:02,25##,RICHMOND,WARD 5
Garbage Not Collected,Environmental Services,Phone,12/21/2016 13:07,29##,JENNIFER,WARD 10
Tree Request,Forestry and Horticulture,Phone,12/21/2016 13:18,3##,CARLING,WARD 6
Road Clean-Up Request,Environmental Services,Phone,12/21/2016 13:26, ,EC ROW OFF RAMP W & DOUGALL AVE,WARD 10
Road Clean-Up Request,Environmental Services,Phone,12/21/2016 13:28, ,EC ROW ON RAMP E, 
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/21/2016 13:29,9##,CURRY,WARD 2
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/21/2016 13:29,9##,CURRY,WARD 2
Alley Maintenance,Maintenance,Phone,12/21/2016 13:32,5##,MOY,WARD 4
Road Clean-Up Request,Environmental Services,Phone,12/21/2016 13:35, ,"EC ROW OFF RAMP E & HOWARD AVE, WINDSOR",WARD 9
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/21/2016 13:43,21##,OTTAWA,WARD 4
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/21/2016 13:43, ,"OTTAWA ST & CHILVER RD, WINDSOR",WARD 4
3-Day Parking Infraction,Parking Enforcement,Phone,12/21/2016 13:44,4##,KARL,WARD 3
Building Conditions,Inspections,Phone,12/21/2016 13:55,6##,CHATHAM,WARD 4
3-Day Parking Infraction,Parking Enforcement,Web Intake,12/21/2016 14:03, , ,WARD 4
Snow Plowing & Salting Request,Maintenance,Phone,12/21/2016 14:04, ,WYANDOTTE ST E & STRABANE AVE,WARD 5
Snow Plowing & Salting Request,Maintenance,Phone,12/21/2016 14:04, ,STRABANE AVE & ERSKINE ST,WARD 5
Building Conditions,Inspections,Phone,12/21/2016 14:07,11##,MERCER,WARD 3
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/21/2016 14:08,10##,CURRY,WARD 2
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/21/2016 14:09,10##,CURRY,WARD 2
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/21/2016 14:15,9##,CURRY,WARD 2
Snow Plowing & Salting Request,Maintenance,Phone,12/21/2016 14:22, ,EVERTS AVE & TOTTEN ST,WARD 10
Recycling Not Collected,Environmental Services,Phone,12/21/2016 14:35,16##,WYANDOTTE,WARD 2
Dirty Yard,Bylaw Enforcement,Web Intake,12/21/2016 14:49, , ,WARD 1
Building Conditions,Inspections,Phone,12/21/2016 14:52,1##,BRIDGE,WARD 2
Road Clean-Up Request,Environmental Services,Phone,12/21/2016 14:57, ,"CENTRAL AVE & NORTH SERVICE RD E, WINDSOR",WARD 5
Road Clean-Up Request,Environmental Services,Phone,12/21/2016 15:32, ,"WALKER RD & EC ROW OFF RAMP E, WINDSOR",WARD 9
Rodent Extermination,Environmental Services,Phone,12/21/2016 15:32,32##,VIRGINIA PARK,WARD 1
Garbage Not Collected,Environmental Services,Phone,12/21/2016 15:40,5##,AYLMER,WARD 3
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/21/2016 15:41,16##,OUELLETTE,WARD 3
Garbage Not Collected,Environmental Services,Phone,12/21/2016 15:41,23##,KILDARE,WARD 4
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/21/2016 15:43,16##,OUELLETTE,WARD 3
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/21/2016 15:44,16##,OUELLETTE,WARD 3
Snow Plowing & Salting Request,Maintenance,Phone,12/21/2016 15:44, ,NIAGARA ST & PIERRE AVE,WARD 4
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,E-Mail,12/21/2016 15:54,16##,DROUILLARD,WARD 5
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,E-Mail,12/21/2016 15:55,16##,DROUILLARD,WARD 5
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,E-Mail,12/21/2016 15:55,16##,DROUILLARD,WARD 5
Dirty Yard,Bylaw Enforcement,Phone,12/21/2016 15:56,6##,TUSCARORA,WARD 4
Dirty Yard,Bylaw Enforcement,Phone,12/21/2016 15:58,7##,LOUIS,WARD 4
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,E-Mail,12/21/2016 16:00,16##,DROUILLARD,WARD 5
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/21/2016 16:00,8##,GOYEAU,WARD 3
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,E-Mail,12/21/2016 16:01,16##,DROUILLARD,WARD 5
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/21/2016 16:04,12##,LAUZON,WARD 6
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/21/2016 16:07,11##,LAUZON,WARD 6
Snow Plowing & Salting Request,Maintenance,Phone,12/21/2016 16:12,38##,YELLOWOOD,WARD 9
Garbage Not Collected,Environmental Services,Phone,12/21/2016 16:16,10##,GLADSTONE,WARD 4
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/21/2016 16:17,10##,VILLAIRE,WARD 6
Dirty Yard,Bylaw Enforcement,Phone,12/21/2016 16:17,14##,FRANCOIS,WARD 5
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/21/2016 16:19,10##,ELLIOTT,WARD 3
3-Day Parking Infraction,Parking Enforcement,Phone,12/21/2016 16:37,12##,CRAWFORD,WARD 3
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/21/2016 16:43,3##,GILES,WARD 3
Road Clean-Up Request,Environmental Services,Phone,12/21/2016 17:01, ,MERCER ST & TUSCARORA ST,WARD 3
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/21/2016 17:45,990##,GOYEAU,WARD 3
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/21/2016 17:45,9##,GOYEAU,WARD 3
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/21/2016 17:46,9##,GOYEAU,WARD 3
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/21/2016 17:47,990##,GOYEAU,WARD 3
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,E-Mail,12/21/2016 17:52,73##,TECUMSEH,WARD 8
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,E-Mail,12/21/2016 17:52,74##,TECUMSEH,WARD 8
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,E-Mail,12/21/2016 17:53,74##,TECUMSEH,WARD 8
Garbage Not Collected,Environmental Services,Phone,12/21/2016 18:29,25##,CHILVER,WARD 4
3-Day Parking Infraction,Parking Enforcement,Phone,12/21/2016 18:56,22##,RANDOLPH,WARD 10
Recycling Not Collected,Environmental Services,Phone,12/22/2016 7:35,12##,CENTRAL,WARD 5
Building/Land - Improper Use,Inspections,Phone,12/22/2016 7:38,10##,CORA GREENWOOD,WARD 7
Recycling Not Collected,Environmental Services,Phone,12/22/2016 8:06,15##,PARENT,WARD 4
Recycling Not Collected,Environmental Services,Phone,12/22/2016 8:08,25##,HOWARD,WARD 10
3-Day Parking Infraction,Parking Enforcement,Phone,12/22/2016 8:14,34##,CROSS,WARD 2
3-Day Parking Infraction,Parking Enforcement,Phone,12/22/2016 8:23,34##,CROSS,WARD 2
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,E-Mail,12/22/2016 8:26,11##,PACIFIC,WARD 10
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/22/2016 8:28,11##,PACIFIC,WARD 10
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/22/2016 8:29,11##,PACIFIC,WARD 10
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/22/2016 8:29,11##,PACIFIC,WARD 10
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/22/2016 8:29,11##,PACIFIC,WARD 10
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/22/2016 8:30,11##,PACIFIC,WARD 10
Garbage Not Collected,Environmental Services,Phone,12/22/2016 8:32,5##,AYLMER,WARD 3
Garbage Not Collected,Environmental Services,Phone,12/22/2016 8:32,12##,MCEWAN,WARD 2
Garbage Not Collected,Environmental Services,Phone,12/22/2016 8:46,19##,MAGNOLIA,WARD 7
Garbage Not Collected,Environmental Services,Phone,12/22/2016 8:48,39##,RIVERSIDE,WARD 5
Snow Removal - Emergency,Maintenance,Phone,12/22/2016 8:50,95##,RIDGE,WARD 7
Recycling Not Collected,Environmental Services,Phone,12/22/2016 8:51,2##,VILLAIRE,WARD 6
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/22/2016 8:53,95##,RIDGE,WARD 7
Garbage Not Collected,Environmental Services,Phone,12/22/2016 9:11,39##,RIVERSIDE,WARD 5
Dead Animal Removal,Environmental Services,Phone,12/22/2016 9:15,93##,ESPLANADE,WARD 7
3-Day Parking Infraction,Parking Enforcement,Phone,12/22/2016 9:25,15##,HALL,WARD 4
Garbage Not Collected,Environmental Services,Phone,12/22/2016 9:26,9##,PILLETTE,WARD 5
Garbage Not Collected,Environmental Services,Phone,12/22/2016 9:30,39##,RIVERSIDE,WARD 5
Snow Plowing & Salting Request,Maintenance,Phone,12/22/2016 9:39,39##,MANZANILLO,WARD 9
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/22/2016 9:43,66##,TECUMSEH,WARD 8
Garbage Not Collected,Environmental Services,Phone,12/22/2016 9:44,33##,AURORA,WARD 7
Rodent Extermination,Environmental Services,Phone,12/22/2016 9:44,27##,LLOYD GEORGE,WARD 8
Snow Plowing & Salting Request,Maintenance,Phone,12/22/2016 9:47,44##,VILLA PARADISO,WARD 1
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/22/2016 10:02,9##,OTTAWA,WARD 4
Snow Plowing & Salting Request,Maintenance,E-Mail,12/22/2016 10:03, ,BORRELLI DR, 
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/22/2016 10:03,9##,OTTAWA,WARD 4
Snow Plowing & Salting Request,Maintenance,Phone,12/22/2016 10:06,27##,MARK,WARD 10
Snow Plowing & Salting Request,Maintenance,Phone,12/22/2016 10:06,27##,SIERRA,WARD 10
Garbage Not Collected,Environmental Services,Phone,12/22/2016 10:21,98##,TECUMSEH,WARD 7
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/22/2016 10:30,10##,OUELLETTE,WARD 3
Dirty Yard,Bylaw Enforcement,Phone,12/22/2016 10:32,29##,PILLETTE,WARD 8
Dead Animal Removal,Environmental Services,Phone,12/22/2016 10:36, ,"ESPLANADE DR & RIDGE RD, WINDSOR",WARD 7
Recycling Not Collected,Environmental Services,Phone,12/22/2016 10:41,15##,LINCOLN,WARD 4
Recycling Not Collected,Environmental Services,Phone,12/22/2016 10:42,15##,DUFFERIN,WARD 3
3-Day Parking Infraction,Parking Enforcement,Phone,12/22/2016 10:47, ,"FRANKLIN ST & HENRY FORD CENTRE DR, WINDSOR",WARD 5
Snow Plowing & Salting Request,Maintenance,Phone,12/22/2016 10:47, ,"CENTRAL AVE & NORTH SERVICE RD E, WINDSOR",WARD 5
Dirty Yard,Bylaw Enforcement,Phone,12/22/2016 11:08,26##,LAUZON,WARD 8
Dirty Yard,Bylaw Enforcement,Phone,12/22/2016 11:08,26##,LAUZON,WARD 8
Parking Meter,Traffic Operations,Phone,12/22/2016 11:10, ,"OUELLETTE AVE & ELLIS ST W, WINDSOR",WARD 3
Snow Plowing & Salting Request,Maintenance,E-Mail,12/22/2016 11:18,39##,BORRELLI,WARD 1
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/22/2016 11:32,983##,BETTS,WARD 10
Public Property Obstructions,Infrastructure Coordination and Development,Phone,12/22/2016 11:33,25##,TECUMSEH,WARD 10
Public Property Obstructions,Infrastructure Coordination and Development,Phone,12/22/2016 11:35,25##,TECUMSEH,WARD 10
Garbage Preparation,Bylaw Enforcement,Phone,12/22/2016 11:39,9##,LANGLOIS,WARD 4
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/22/2016 11:57,8##,TECUMSEH,WARD 4
Snow Plowing & Salting Request,Maintenance,Phone,12/22/2016 11:58,44##,VILLA PARADISO,WARD 1
Garbage Not Collected,Environmental Services,Phone,12/22/2016 12:03,15##,ELSMERE,WARD 4
Garbage Not Collected,Environmental Services,Phone,12/22/2016 12:20,39##,RIVERSIDE,WARD 5
Garbage Not Collected,Environmental Services,Phone,12/22/2016 12:21,23##,LINCOLN,WARD 4
Dirty Yard,Bylaw Enforcement,Web Intake,12/22/2016 12:25, , ,WARD 8
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/22/2016 12:30,61##,TECUMSEH,WARD 8
Dirty Yard,Bylaw Enforcement,E-Mail,12/22/2016 12:35,9##,WYANDOTTE,WARD 3
Sewer Maintenance,Maintenance,Phone,12/22/2016 12:48,15##,LINCOLN,WARD 4
Recycling Not Collected,Environmental Services,Phone,12/22/2016 13:00,12##,CHILVER,WARD 4
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/22/2016 13:03,8##,MARION,WARD 4
Dog Complaint - Bylaw,Bylaw Enforcement,Phone,12/22/2016 13:08,87##,RIVERSIDE,WARD 6
Garbage Not Collected,Environmental Services,Phone,12/22/2016 13:12,4##,BRODHEAD,WARD 3
Rodent Extermination,Environmental Services,Phone,12/22/2016 13:27,15##,VICTORIA,WARD 3
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/22/2016 13:28,44##,HELSINKI,WARD 9
Snow Plowing & Salting Request,Maintenance,Phone,12/22/2016 13:28, ,"EC ROW OFF RAMP W & CENTRAL AVE, WINDSOR",WARD 5
Garbage Not Collected,Environmental Services,Phone,12/22/2016 13:36,8##,SILVERDALE,WARD 1
Recycling Not Collected,Environmental Services,Phone,12/22/2016 13:36,12##,WINDERMERE,WARD 4
Garbage Not Collected,Environmental Services,Phone,12/22/2016 13:47,38##,WYANDOTTE,WARD 5
Recycling Not Collected,Environmental Services,Phone,12/22/2016 13:47,7##,GOYEAU,WARD 3
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/22/2016 13:51,1##,TECUMSEH,WARD 3
Snow & Ice Removal Issues - Sidewalks,Bylaw Enforcement,Phone,12/22/2016 13:52,3##,TECUMSEH,WARD 3
Recycling Not Collected,Environmental Services,Phone,12/22/2016 13:59,46##,WYANDOTTE,WARD 5
Dirty Yard,Bylaw Enforcement,Phone,12/22/2016 14:02,7##,MARENTETTE,WARD 4
Snow Removal - Emergency,Maintenance,Phone,12/22/2016 14:07,2##,ROSSINI,WARD 5
Road Clean-Up Request,Environmental Services,Phone,12/22/2016 14:32, ,"CYPRESS AVE & MCHUGH ST, WINDSOR",WARD 7
Snow Removal - Emergency,Maintenance,Phone,12/22/2016 14:39,39##,ACORN,WARD 9
Recycling Not Collected,Environmental Services,Phone,12/22/2016 14:48,11##,WINDSOR,WARD 3
Recycling Not Collected,Environmental Services,Phone,12/22/2016 14:49,9##,BRUCE,WARD 3
